theta_deg,sigma_dBsm,sigma_dBsm_anal,relative_error
169.5,20.786010245517417,20.78935126822977,0.0007690030747420599
170.0,20.956700668827235,20.960187466369774,0.0008025425946625764
170.5,21.120313589901123,21.12393911944317,0.0008344606716593221
171.0,21.276655523297904,21.280412722091167,0.0008647528788144031
171.5,21.42554257547583,21.42942436892023,0.000893416637406805
172.0,21.566801246491984,21.570800556193788,0.000920451214821293
172.5,21.70026896511043,21.70437871660884,0.000945857648000724
173.0,21.825794400461174,21.830007530388542,0.0009696386129353327
173.5,21.943237590430137,21.9475470529419,0.0009917982565090955
174.0,22.052469923510767,22.056868695886713,0.0010123420057738537
174.5,22.15337400716699,22.15785509453477,0.001031276365992666
175.0,22.245843452014363,22.250399891186376,0.0010486087166946252
175.5,22.32978259746512,22.334407459911795,0.001064347113066322
176.0,22.405106201005957,22.40979259501307,0.001078500098340702
176.5,22.471739110047796,22.476480182123026,0.0010910765312129892
177.0,22.52961593234184,22.534404867947167,0.0011020854309007199
177.5,22.578680718304827,22.583510742002858,0.0011115358424705118
178.0,22.618886666247356,22.6237510413525,0.0011194367230980132
178.5,22.650195859423352,22.655087887253803,0.0011257968503955657
179.0,22.672579041996034,22.67749206082408,0.0011306247531668125
179.5,22.68601543941752,22.69094282321282,0.0011339286639305277
